SID, PID ,SubClass,LotArea,LandContour,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,BsmtQual,BsmtCond,TotalBsmtSF,Heating,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,GrLivArea,GarageCars,GarageArea,YrSold,SaleType, SalePrice , living_area,total_area_,ratio_living_to_totalLivingToTotal,ratio_lot_to_living,prie_per_leaving_sf,price_per_total_sf
580,"$534,125,080.00 ",60,11700,Lvl,AllPub,NWAmes,1Fam,2Story,6,6,1968,1968,TA,TA,727,GasA,Y,SBrkr,829,727,1556,2,441,2009,WD ,"154,000","1,556","2,283",0.681559352,7.52,$98.97 ,$67.46 
581,"$534,127,130.00 ",20,11717,Lvl,AllPub,NWAmes,1Fam,1Story,6,6,1970,1970,TA,TA,1442,GasA,Y,SBrkr,1442,0,1442,2,615,2009,WD ,"185,000","1,442","2,884",0.5,8.13,$128.29 ,$64.15 
582,"$534,127,170.00 ",20,9156,Lvl,AllPub,NWAmes,1Fam,1Story,6,7,1968,1968,TA,TA,1489,GasA,Y,SBrkr,1489,0,1489,2,462,2009,WD ,"185,750","1,489","2,978",0.5,6.15,$124.75 ,$62.37 
583,"$534,128,010.00 ",60,10382,Lvl,AllPub,NWAmes,1Fam,2Story,7,6,1973,1973,Gd,TA,1107,GasA,Y,SBrkr,1107,983,2090,2,484,2009,WD ,"200,000","2,090","3,197",0.653737879,4.97,$95.69 ,$62.56 
584,"$534,128,020.00 ",60,12732,Lvl,AllPub,NWAmes,1Fam,2Story,7,6,1974,1974,TA,TA,752,GasA,Y,SBrkr,1285,782,2067,2,784,2009,WD ,"206,000","2,067","2,819",0.733238737,6.16,$99.66 ,$73.08 
585,"$534,128,100.00 ",60,12936,Lvl,AllPub,NWAmes,1Fam,2Story,6,6,1972,1972,TA,Gd,723,GasA,Y,SBrkr,735,660,1395,2,497,2009,WD ,"162,000","1,395","2,118",0.658640227,9.27,$116.13 ,$76.49 
586,"$534,128,190.00 ",60,10400,Lvl,AllPub,NWAmes,1Fam,2Story,6,7,1967,1997,TA,TA,932,GasA,Y,SBrkr,1271,1369,2640,2,515,2009,WD ,"256,900","2,640","3,572",0.739081747,3.94,$97.31 ,$71.92 
587,"$534,129,080.00 ",80,17871,Lvl,AllPub,NWAmes,1Fam,SLvl,6,5,1967,1976,Gd,TA,1680,GasA,Y,SBrkr,1724,0,1724,2,480,2009,WD ,"197,900","1,724","3,404",0.506462985,10.37,$114.79 ,$58.14 
588,"$534,129,370.00 ",20,9600,Lvl,AllPub,NWAmes,1Fam,1Story,5,5,1969,1969,Gd,TA,1288,GasA,Y,SBrkr,1336,0,1336,2,502,2009,WD ,"163,000","1,336","2,624",0.509146341,7.19,$122.01 ,$62.12 
590,"$534,151,120.00 ",60,13774,Lvl,AllPub,NWAmes,1Fam,2Story,7,7,1977,1992,Gd,TA,908,GasA,Y,SBrkr,1316,972,2288,2,520,2009,WD ,"230,000","2,288","3,196",0.715894869,6.02,$100.52 ,$71.96 
591,"$534,152,120.00 ",20,9650,Lvl,AllPub,NWAmes,1Fam,1Story,6,5,1977,1977,Gd,TA,1350,GasA,Y,SBrkr,1334,0,1334,2,630,2009,WD ,"167,900","1,334","2,684",0.497019374,7.23,$125.86 ,$62.56 
592,"$534,175,080.00 ",20,10140,Lvl,AllPub,NWAmes,1Fam,1Story,7,5,1998,1999,Ex,TA,1650,GasA,Y,SBrkr,1680,0,1680,2,583,2009,WD ,"213,250","1,680","3,330",0.504504505,6.04,$126.93 ,$64.04 
593,"$534,177,230.00 ",60,8400,Lvl,AllPub,NWAmes,1Fam,2Story,8,6,2001,2001,Gd,TA,810,GasA,Y,SBrkr,810,855,1665,2,528,2009,WD ,"227,000","1,665","2,475",0.672727273,5.05,$136.34 ,$91.72 
594,"$534,200,030.00 ",20,7130,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1967,1967,TA,TA,864,GasA,Y,SBrkr,864,0,864,1,312,2009,WD ,"130,000",864,"1,728",0.5,8.25,$150.46 ,$75.23 
595,"$534,202,170.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1967,1967,TA,TA,1568,GasA,Y,SBrkr,1568,0,1568,2,440,2009,COD,"143,000","1,568","3,136",0.5,6.12,$91.20 ,$45.60 
596,"$534,226,120.00 ",20,9100,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1965,1965,TA,TA,925,GasA,Y,SBrkr,925,0,925,1,429,2009,WD ,"117,500",925,"1,850",0.5,9.84,$127.03 ,$63.51 
598,"$534,251,030.00 ",85,16500,Lvl,AllPub,NWAmes,1Fam,SFoyer,6,5,1971,1971,Gd,TA,1232,GasA,Y,SBrkr,1320,0,1320,2,495,2009,WD ,"172,500","1,320","2,552",0.517241379,12.5,$130.68 ,$67.59 
599,"$534,252,240.00 ",20,9790,Lvl,AllPub,NWAmes,1Fam,1Story,6,5,1967,1967,TA,TA,1372,GasA,Y,SBrkr,1342,0,1342,2,457,2009,WD ,"161,500","1,342","2,714",0.494473102,7.3,$120.34 ,$59.51 
600,"$534,275,060.00 ",20,7436,Lvl,AllPub,NAmes,1Fam,1Story,4,7,1960,1960,TA,TA,894,GasA,Y,SBrkr,894,0,894,2,396,2009,WD ,"141,500",894,"1,788",0.5,8.32,$158.28 ,$79.14 
601,"$534,275,100.00 ",20,8125,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1959,1959,TA,TA,864,GasA,Y,SBrkr,864,0,864,1,308,2009,WD ,"118,000",864,"1,728",0.5,9.4,$136.57 ,$68.29 
602,"$534,276,040.00 ",20,9100,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1959,1959,TA,TA,864,GasA,Y,SBrkr,864,0,864,1,300,2009,WD ,"127,500",864,"1,728",0.5,10.53,$147.57 ,$73.78 
603,"$534,277,090.00 ",20,9450,Lvl,AllPub,NAmes,1Fam,1Story,4,5,1957,1957,TA,TA,1040,GasA,Y,SBrkr,1362,0,1362,3,768,2009,WD ,"140,000","1,362","2,402",0.567027477,6.94,$102.79 ,$58.28 
604,"$534,278,070.00 ",20,13495,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1956,1956,TA,TA,1048,GasA,Y,SBrkr,1728,0,1728,2,576,2009,WD ,"177,625","1,728","2,776",0.622478386,7.81,$102.79 ,$63.99 
606,"$534,400,050.00 ",20,10004,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1964,1964,TA,TA,1516,GasA,Y,SBrkr,1516,0,1516,2,472,2009,WD ,"167,000","1,516","3,032",0.5,6.6,$110.16 ,$55.08 
607,"$534,400,290.00 ",20,9350,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1961,1995,TA,TA,1313,GasA,Y,SBrkr,1313,0,1313,2,610,2009,WD ,"153,000","1,313","2,626",0.5,7.12,$116.53 ,$58.26 
609,"$534,402,140.00 ",20,11000,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1966,1966,TA,TA,1154,GasA,Y,SBrkr,1154,0,1154,2,480,2009,WD ,"154,000","1,154","2,308",0.5,9.53,$133.45 ,$66.72 
610,"$534,402,170.00 ",60,8970,Lvl,AllPub,NAmes,1Fam,2Story,5,6,1965,1965,TA,TA,744,GasA,Y,SBrkr,825,1315,2140,2,549,2009,WD ,"177,500","2,140","2,884",0.742024965,4.19,$82.94 ,$61.55 
611,"$534,403,370.00 ",80,12095,Lvl,AllPub,NAmes,1Fam,SLvl,6,6,1964,1964,TA,TA,1127,GasA,Y,SBrkr,1445,0,1445,2,645,2009,WD ,"158,000","1,445","2,572",0.561819596,8.37,$109.34 ,$61.43 
612,"$534,426,110.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1959,1959,TA,TA,1041,GasA,Y,SBrkr,1041,0,1041,1,270,2009,WD ,"124,500","1,041","2,082",0.5,9.22,$119.60 ,$59.80 
613,"$534,429,150.00 ",80,11475,Lvl,AllPub,NAmes,1Fam,SLvl,6,6,1961,1961,TA,TA,1208,GasA,Y,SBrkr,1576,0,1576,2,368,2009,WD ,"174,500","1,576","2,784",0.566091954,7.28,$110.72 ,$62.68 
614,"$534,431,130.00 ",20,9768,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1955,1955,TA,TA,960,GasA,Y,SBrkr,960,0,960,1,330,2009,WD ,"122,000",960,"1,920",0.5,10.18,$127.08 ,$63.54 
615,"$534,450,150.00 ",30,5330,HLS,AllPub,BrkSide,1Fam,1Story,4,7,1940,1950,TA,TA,420,GasA,Y,SBrkr,708,0,708,0,0,2009,WD ,"82,500",708,"1,128",0.627659574,7.53,$116.53 ,$73.14 
616,"$534,451,110.00 ",50,7015,Bnk,AllPub,BrkSide,1Fam,1.5Fin,5,4,1950,1950,TA,TA,709,GasA,Y,SBrkr,979,224,1203,1,352,2009,WD ,"110,000","1,203","1,912",0.6291841,5.83,$91.44 ,$57.53 
617,"$534,475,185.00 ",20,12160,Lvl,AllPub,NAmes,1Fam,1Story,6,4,1953,1953,TA,TA,1505,GasA,Y,SBrkr,1505,0,1505,2,505,2009,WD ,"149,500","1,505","3,010",0.5,8.08,$99.34 ,$49.67 
618,"$534,475,250.00 ",20,9900,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1967,1967,TA,TA,1680,GasA,Y,SBrkr,1691,0,1691,2,550,2009,WD ,"175,000","1,691","3,371",0.501631563,5.85,$103.49 ,$51.91 
619,"$534,476,150.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1953,1953,TA,TA,1416,GasA,Y,SBrkr,1644,0,1644,2,418,2009,WD ,"167,000","1,644","3,060",0.537254902,5.84,$101.58 ,$54.58 
620,"$534,476,320.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1956,1956,TA,TA,1050,GasA,Y,SBrkr,1050,0,1050,1,338,2009,WD ,"128,900","1,050","2,100",0.5,9.14,$122.76 ,$61.38 
621,"$534,477,110.00 ",50,9600,Lvl,AllPub,NAmes,1Fam,1.5Fin,6,8,1950,2005,TA,TA,856,GasA,Y,SBrkr,1112,556,1668,1,271,2009,WD ,"140,000","1,668","2,524",0.660855784,5.76,$83.93 ,$55.47 
622,"$534,478,230.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1950,2007,TA,TA,1113,GasA,Y,SBrkr,1113,0,1113,1,264,2009,WD ,"147,000","1,113","2,226",0.5,8.63,$132.08 ,$66.04 
623,"$535,101,120.00 ",90,8944,Lvl,AllPub,NAmes,Duplex,1Story,5,5,1967,1967,TA,TA,1584,GasA,Y,SBrkr,1584,0,1584,3,792,2009,WD ,"124,000","1,584","3,168",0.5,5.65,$78.28 ,$39.14 
624,"$535,104,120.00 ",20,10573,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1961,1961,TA,TA,1453,GasA,Y,SBrkr,1453,0,1453,2,530,2009,WD ,"187,500","1,453","2,906",0.5,7.28,$129.04 ,$64.52 
625,"$535,105,100.00 ",20,9500,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1963,1963,Gd,TA,1394,GasA,Y,SBrkr,1394,0,1394,2,514,2009,WD ,"159,000","1,394","2,788",0.5,6.81,$114.06 ,$57.03 
626,"$535,125,070.00 ",20,14695,Lvl,AllPub,NAmes,1Fam,1Story,6,8,1966,2008,TA,TA,1562,GasA,Y,SBrkr,1567,0,1567,2,542,2009,WD ,"256,000","1,567","3,129",0.500798977,9.38,$163.37 ,$81.82 
627,"$535,125,090.00 ",60,13600,Lvl,AllPub,NAmes,1Fam,2Story,7,6,1965,1990,TA,TA,768,GasA,Y,SBrkr,1186,800,1986,2,486,2009,WD ,"205,000","1,986","2,754",0.721132898,6.85,$103.22 ,$74.44 
628,"$535,126,010.00 ",60,13000,Lvl,AllPub,NAmes,1Fam,2Story,6,6,1968,1968,Gd,TA,896,GasA,Y,SBrkr,1182,960,2142,1,509,2009,WD ,"193,500","2,142","3,038",0.705069124,6.07,$90.34 ,$63.69 
629,"$535,126,100.00 ",20,13560,Lvl,AllPub,NAmes,1Fam,1Story,6,3,1968,1968,Fa,Fa,1392,GasA,Y,SBrkr,1392,0,1392,2,576,2009,WD ,"110,000","1,392","2,784",0.5,9.74,$79.02 ,$39.51 
630,"$535,150,070.00 ",50,12513,Lvl,AllPub,NAmes,1Fam,1.5Fin,4,4,1920,2007,TA,Fa,715,GasA,Y,SBrkr,1281,457,1738,1,368,2009,WD ,"104,900","1,738","2,453",0.708520179,7.2,$60.36 ,$42.76 
631,"$535,151,040.00 ",20,8760,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1956,1956,TA,TA,1169,GasA,Y,SBrkr,1144,0,1144,1,286,2009,WD ,"150,000","1,144","2,313",0.494595763,7.66,$131.12 ,$64.85 
632,"$535,152,230.00 ",20,8400,Lvl,AllPub,NAmes,1Fam,1Story,6,3,1957,1957,TA,TA,1478,GasA,Y,SBrkr,1478,0,1478,2,442,2009,WD ,"156,500","1,478","2,956",0.5,5.68,$105.89 ,$52.94 
633,"$535,154,060.00 ",20,12285,Lvl,AllPub,NAmes,1Fam,1Story,7,6,1960,1960,TA,TA,1329,GasA,Y,SBrkr,1329,0,1329,2,441,2009,WD ,"176,000","1,329","2,658",0.5,9.24,$132.43 ,$66.22 
634,"$535,154,130.00 ",20,9240,Lvl,AllPub,NAmes,1Fam,1Story,6,8,1959,1998,TA,TA,988,GasA,Y,SBrkr,988,0,988,1,297,2009,WD ,"149,500",988,"1,976",0.5,9.35,$151.32 ,$75.66 
635,"$535,175,030.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1958,1988,TA,TA,1240,GasA,Y,SBrkr,1632,0,1632,1,338,2009,WD ,"139,000","1,632","2,872",0.568245125,5.88,$85.17 ,$48.40 
636,"$535,175,050.00 ",20,12400,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1958,1998,TA,Fa,1215,GasA,Y,FuseA,1215,0,1215,1,297,2009,WD ,"155,000","1,215","2,430",0.5,10.21,$127.57 ,$63.79 
638,"$535,178,120.00 ",20,8750,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1955,1955,TA,TA,1382,GasA,Y,FuseA,1382,0,1382,1,350,2009,WD ,"153,000","1,382","2,764",0.5,6.33,$110.71 ,$55.35 
640,"$535,300,120.00 ",80,19296,Lvl,AllPub,NAmes,1Fam,SLvl,6,5,1962,1962,TA,TA,1362,GasA,Y,SBrkr,1382,0,1382,2,884,2009,WD ,"176,000","1,382","2,744",0.503644315,13.96,$127.35 ,$64.14 
641,"$535,301,170.00 ",20,8532,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1954,1990,TA,TA,1297,GasA,Y,SBrkr,1297,0,1297,2,498,2009,WD ,"153,000","1,297","2,594",0.5,6.58,$117.96 ,$58.98 
642,"$535,302,120.00 ",90,9482,Lvl,AllPub,NAmes,Duplex,1Story,5,4,1958,1958,TA,TA,1866,GasA,Y,SBrkr,1866,0,1866,2,495,2009,WD ,"135,000","1,866","3,732",0.5,5.08,$72.35 ,$36.17 
643,"$535,303,110.00 ",20,8128,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1954,1954,TA,TA,1062,GasA,Y,SBrkr,1062,0,1062,1,297,2009,WD ,"131,000","1,062","2,124",0.5,7.65,$123.35 ,$61.68 
644,"$535,303,150.00 ",20,10634,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1953,1953,TA,TA,608,GasA,Y,SBrkr,1319,0,1319,1,270,2009,WD ,"123,000","1,319","1,927",0.684483653,8.06,$93.25 ,$63.83 
645,"$535,304,100.00 ",20,13070,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1951,1951,TA,TA,631,GasA,Y,FuseA,1112,0,1112,2,480,2009,WD ,"126,000","1,112","1,743",0.637980493,11.75,$113.31 ,$72.29 
646,"$535,325,290.00 ",20,10434,Lvl,AllPub,NAmes,1Fam,1Story,4,5,1955,1955,TA,TA,1005,GasA,Y,SBrkr,1005,0,1005,2,672,2009,WD ,"115,000","1,005","2,010",0.5,10.38,$114.43 ,$57.21 
647,"$535,351,050.00 ",20,14559,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1951,2000,TA,TA,1008,GasA,Y,SBrkr,1363,0,1363,1,288,2009,WD ,"164,900","1,363","2,371",0.574862927,10.68,$120.98 ,$69.55 
648,"$535,352,090.00 ",30,8480,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1945,1950,TA,TA,793,GasA,Y,SBrkr,793,0,793,1,240,2009,WD ,"113,000",793,"1,586",0.5,10.69,$142.50 ,$71.25 
649,"$535,353,040.00 ",20,7626,Lvl,AllPub,NAmes,1Fam,1Story,5,8,1952,2005,TA,TA,1031,GasA,Y,SBrkr,1031,0,1031,1,230,2009,WD ,"145,500","1,031","2,062",0.5,7.4,$141.13 ,$70.56 
650,"$535,353,060.00 ",20,9533,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1953,1953,NA,NA,0,GasA,Y,FuseA,1210,0,1210,1,616,2009,ConLD,"102,900","1,210","1,210",1,7.88,$85.04 ,$85.04 
652,"$535,353,240.00 ",60,11419,Lvl,AllPub,NAmes,1Fam,2Story,7,7,1948,1999,TA,TA,699,GasA,Y,FuseA,801,726,1527,2,410,2009,WD ,"152,500","1,527","2,226",0.685983827,7.48,$99.87 ,$68.51 
653,"$535,354,070.00 ",20,9600,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1950,1950,TA,TA,1200,GasA,Y,SBrkr,1200,0,1200,1,246,2009,WD ,"129,900","1,200","2,400",0.5,8,$108.25 ,$54.13 
654,"$535,354,100.00 ",20,8000,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1948,2002,TA,TA,972,GasA,Y,SBrkr,972,0,972,1,240,2009,WD ,"132,000",972,"1,944",0.5,8.23,$135.80 ,$67.90 
655,"$535,375,010.00 ",20,5470,Lvl,AllPub,OldTown,1Fam,1Story,3,5,1958,1958,TA,TA,792,GasA,Y,FuseA,792,0,792,1,366,2009,WD ,"99,900",792,"1,584",0.5,6.91,$126.14 ,$63.07 
656,"$535,375,050.00 ",50,10410,Lvl,AllPub,OldTown,1Fam,1.5Fin,5,7,1916,1987,Fa,TA,660,GasA,Y,SBrkr,808,704,1656,1,180,2009,WD ,"135,000","1,512","2,172",0.696132597,6.88,$89.29 ,$62.15 
657,"$535,376,060.00 ",60,10800,Lvl,AllPub,OldTown,1Fam,2Story,5,7,1939,2006,TA,TA,676,GasA,Y,SBrkr,676,676,1352,2,720,2009,WD ,"149,000","1,352","2,028",0.666666667,7.99,$110.21 ,$73.47 
658,"$535,377,150.00 ",70,8146,Lvl,AllPub,OldTown,1Fam,2Story,4,8,1900,2003,Fa,TA,405,GasA,Y,SBrkr,717,322,1039,1,281,2009,WD ,"114,000","1,039","1,444",0.719529086,7.84,$109.72 ,$78.95 
659,"$535,378,020.00 ",30,9022,Lvl,AllPub,OldTown,1Fam,1Story,5,8,1924,2006,TA,TA,768,GasA,Y,SBrkr,792,0,792,1,240,2009,WD ,"109,500",792,"1,560",0.507692308,11.39,$138.26 ,$70.19 
660,"$535,378,120.00 ",30,10230,Lvl,AllPub,OldTown,1Fam,1Story,5,7,1925,1950,TA,TA,1054,GasA,Y,SBrkr,1078,0,1078,1,264,2009,WD ,"125,000","1,078","2,132",0.505628518,9.49,$115.96 ,$58.63 
661,"$535,381,040.00 ",50,10410,Lvl,AllPub,OldTown,1Fam,1.5Fin,4,5,1915,1950,TA,TA,1313,GasA,Y,SBrkr,1313,0,2377,2,528,2009,WD ,"142,900","1,313","2,626",0.5,7.93,$108.83 ,$54.42 
662,"$535,382,100.00 ",70,7200,Lvl,AllPub,OldTown,1Fam,2Story,7,9,1910,2008,TA,TA,560,GasA,Y,SBrkr,930,760,1690,2,624,2009,WD ,"156,500","1,690","2,250",0.751111111,4.26,$92.60 ,$69.56 
663,"$535,383,060.00 ",30,5400,Lvl,AllPub,OldTown,1Fam,1Story,2,5,1940,1950,Fa,TA,416,GasA,N,FuseA,599,0,599,0,0,2009,WD ,"59,000",599,"1,015",0.590147783,9.02,$98.50 ,$58.13 
664,"$535,383,070.00 ",50,5400,Lvl,AllPub,OldTown,1Fam,1.5Fin,4,6,1920,1950,TA,TA,840,GasA,Y,SBrkr,840,534,1374,1,338,2009,WD ,"105,000","1,374","2,214",0.620596206,3.93,$76.42 ,$47.43 
665,"$535,383,110.00 ",30,10800,Lvl,AllPub,OldTown,1Fam,1Story,5,7,1920,1950,TA,TA,720,GasA,N,SBrkr,846,0,846,2,576,2009,WD ,"106,000",846,"1,566",0.540229885,12.77,$125.30 ,$67.69 
666,"$535,383,120.00 ",30,10800,Lvl,AllPub,OldTown,1Fam,1Story,3,5,1890,1998,TA,TA,630,GasA,Y,FuseA,725,0,725,1,320,2009,WD ,"78,500",725,"1,355",0.535055351,14.9,$108.28 ,$57.93 
667,"$535,402,010.00 ",90,9671,Lvl,AllPub,NAmes,Duplex,2Story,6,5,1969,1969,TA,TA,1248,GasA,Y,SBrkr,1248,1296,2544,3,907,2009,WD ,"190,000","2,544","3,792",0.670886076,3.8,$74.69 ,$50.11 
668,"$535,402,090.00 ",20,10143,Lvl,AllPub,NAmes,1Fam,1Story,6,7,1963,1963,TA,TA,1380,GasA,Y,SBrkr,1380,0,1380,1,364,2009,WD ,"154,000","1,380","2,760",0.5,7.35,$111.59 ,$55.80 
669,"$535,402,270.00 ",20,11500,Lvl,AllPub,NAmes,1Fam,1Story,6,4,1967,1967,TA,Fa,1040,GasA,Y,SBrkr,1040,0,1040,2,480,2009,WD ,"163,000","1,040","2,080",0.5,11.06,$156.73 ,$78.37 
670,"$535,402,330.00 ",90,11643,Lvl,AllPub,NAmes,Duplex,2Story,5,5,1969,1969,TA,TA,1248,GasA,Y,SBrkr,1338,1296,2634,4,968,2009,WD ,"200,000","2,634","3,882",0.678516229,4.42,$75.93 ,$51.52 
671,"$535,403,190.00 ",20,8010,Lvl,AllPub,NAmes,1Fam,1Story,6,9,1958,2007,TA,TA,951,GasA,Y,SBrkr,951,0,951,2,480,2009,WD ,"143,500",951,"1,902",0.5,8.42,$150.89 ,$75.45 
672,"$535,403,210.00 ",20,10454,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1957,1957,TA,TA,1105,GasA,Y,FuseA,1105,0,1105,1,308,2009,WD ,"135,000","1,105","2,210",0.5,9.46,$122.17 ,$61.09 
673,"$535,403,280.00 ",20,8712,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1957,2000,TA,TA,992,GasA,Y,SBrkr,1306,0,1306,1,756,2009,WD ,"153,000","1,306","2,298",0.568320279,6.67,$117.15 ,$66.58 
674,"$535,425,070.00 ",20,17600,Lvl,AllPub,NAmes,1Fam,1Story,6,5,1960,1960,TA,TA,1478,GasA,Y,FuseA,1478,0,1478,2,498,2009,WD ,"157,500","1,478","2,956",0.5,11.91,$106.56 ,$53.28 
675,"$535,426,150.00 ",20,9000,HLS,AllPub,NAmes,1Fam,1Story,6,6,1958,1958,Gd,TA,160,GasA,Y,SBrkr,1142,0,1142,1,384,2009,WD ,"113,500","1,142","1,302",0.877112135,7.88,$99.39 ,$87.17 
676,"$535,450,070.00 ",40,12144,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1949,1950,TA,TA,832,GasA,Y,SBrkr,1036,0,1268,1,288,2009,WD ,"133,000","1,036","1,868",0.554603854,11.72,$128.38 ,$71.20 
677,"$535,450,160.00 ",90,8544,Lvl,AllPub,NAmes,Duplex,1Story,3,4,1950,1950,NA,NA,0,Wall,N,FuseA,1040,0,1040,2,400,2009,WD ,"92,900","1,040","1,040",1,8.22,$89.33 ,$89.33 
679,"$535,451,170.00 ",90,7200,Lvl,AllPub,NAmes,Duplex,1Story,4,5,1949,1950,NA,NA,0,Wall,N,FuseF,1040,0,1040,2,420,2009,WD ,"90,000","1,040","1,040",1,6.92,$86.54 ,$86.54 
680,"$535,451,250.00 ",50,7200,Lvl,AllPub,NAmes,1Fam,1.5Fin,5,4,1950,1982,TA,TA,1208,GasA,Y,FuseA,1136,768,1904,1,240,2009,WD ,"138,000","1,904","3,112",0.611825193,3.78,$72.48 ,$44.34 
681,"$535,452,090.00 ",20,7350,Lvl,AllPub,NAmes,1Fam,1Story,5,6,1958,1958,TA,TA,1041,GasA,Y,SBrkr,1041,0,1041,1,294,2009,WD ,"128,000","1,041","2,082",0.5,7.06,$122.96 ,$61.48 
683,"$535,452,140.00 ",20,7200,Lvl,AllPub,NAmes,1Fam,1Story,5,7,1952,1952,TA,Gd,732,GasA,Y,SBrkr,732,0,732,1,240,2009,WD ,"118,900",732,"1,464",0.5,9.84,$162.43 ,$81.22 
684,"$535,453,100.00 ",80,8000,Lvl,AllPub,NAmes,1Fam,SLvl,5,5,1959,1959,Gd,TA,528,GasA,Y,SBrkr,1183,0,1183,1,288,2009,WD ,"138,000","1,183","1,711",0.691408533,6.76,$116.65 ,$80.65 
685,"$535,453,200.00 ",20,7931,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1959,1959,TA,TA,1148,GasA,Y,SBrkr,1148,0,1148,1,672,2009,WD ,"132,500","1,148","2,296",0.5,6.91,$115.42 ,$57.71 
686,"$535,454,100.00 ",50,10800,Lvl,AllPub,NAmes,1Fam,1.5Fin,4,7,1949,1996,TA,TA,832,GasA,Y,FuseF,832,629,1461,1,384,2009,WD ,"133,500","1,461","2,293",0.637156563,7.39,$91.38 ,$58.22 
688,"$535,475,010.00 ",60,7570,Lvl,AllPub,NAmes,1Fam,2Story,6,5,1964,1964,TA,TA,780,GasA,Y,SBrkr,993,813,1806,2,483,2009,WD ,"144,750","1,806","2,586",0.69837587,4.19,$80.15 ,$55.97 
689,"$535,476,110.00 ",90,8604,Lvl,AllPub,NAmes,Duplex,SFoyer,5,7,1978,1978,Gd,TA,941,GasA,Y,SBrkr,941,0,941,2,564,2009,WD ,"145,000",941,"1,882",0.5,9.14,$154.09 ,$77.05 
690,"$535,476,240.00 ",20,7936,Lvl,AllPub,NAmes,1Fam,1Story,6,6,1963,1963,TA,TA,1045,GasA,Y,SBrkr,1045,0,1045,1,264,2009,WD ,"127,000","1,045","2,090",0.5,7.59,$121.53 ,$60.77 
691,"$535,477,150.00 ",20,6600,Lvl,AllPub,NAmes,1Fam,1Story,5,5,1962,1962,TA,TA,894,GasA,N,SBrkr,894,0,894,1,308,2009,WD ,"109,500",894,"1,788",0.5,7.38,$122.48 ,$61.24 
729,"$903,200,080.00 ",70,21384,Lvl,AllPub,BrkSide,1Fam,2Story,5,6,1923,2004,TA,TA,1324,GasA,Y,SBrkr,1072,504,1576,2,528,2009,WD ,"223,500","1,576","2,900",0.543448276,13.57,$141.81 ,$77.07 
730,"$903,201,020.00 ",30,6615,Lvl,AllPub,BrkSide,1Fam,1Story,6,6,1923,1950,TA,TA,1022,GasA,N,FuseA,1432,0,1432,1,216,2009,WD ,"149,000","1,432","2,454",0.583537082,4.62,$104.05 ,$60.72 
731,"$903,201,080.00 ",50,7264,Lvl,AllPub,BrkSide,1Fam,1.5Fin,7,7,1925,2007,TA,TA,952,GasW,N,SBrkr,952,596,1548,2,672,2009,WD ,"205,000","1,548","2,500",0.6192,4.69,$132.43 ,$82.00 
732,"$903,202,170.00 ",70,4960,Lvl,AllPub,BrkSide,1Fam,1.5Fin,5,7,1930,1982,TA,TA,297,GasA,Y,SBrkr,1001,653,1654,1,336,2009,WD ,"137,000","1,654","1,951",0.847770374,3,$82.83 ,$70.22 
733,"$903,205,040.00 ",30,8854,Lvl,AllPub,BrkSide,1Fam,1.5Unf,6,6,1916,1950,TA,TA,952,Grav,N,FuseF,952,0,952,1,192,2009,WD ,"121,000",952,"1,904",0.5,9.3,$127.10 ,$63.55 
